cycle,malicious_rating,benign_rating,f1,avg_speedup,avg_number_of_work_units_distributed
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
